ID,datetime,temperature,pressure,windspeed,Usage_kW,AC_DR_kW,Kitchen_kW,UPS_kW,LR_kW,AC_Dr_kW,AC_BR_kW,electricity_consumption
0,7/1/2013 0:00,-11.4,1003,571.91,1.731,0.0006,0.3518,0.2575,0.3531,0.0097,0.0001,216
1,7/1/2013 1:00,-12.1,996,575.04,1.7415,0.0006,0.3485,0.2854,0.3504,0.0097,0.0002,210
2,7/1/2013 2:00,-12.9,1000,578.435,1.7391,0.0006,0.3477,0.2836,0.352,0.0097,0.0002,225
3,7/1/2013 3:00,-11.4,995,582.58,1.7371,0.0006,0.3466,0.2864,0.3504,0.0096,0.0002,216
4,7/1/2013 4:00,-11.4,1005,586.6,1.7268,0.0006,0.3464,0.2819,0.3491,0.0097,0.0002,222
5,7/1/2013 5:00,-10.7,1013,2.79,1.7246,0.0006,0.3506,0.2798,0.3483,0.0098,0.0002,216
6,7/1/2013 6:00,-13.6,1006,4.38,1.7215,0.0006,0.3512,0.2792,0.3472,0.0098,0.0001,219
7,7/1/2013 7:00,-11.4,997,7.635,1.755,0.0006,0.3508,0.3145,0.3474,0.0096,0.0003,222
8,7/1/2013 8:00,-10.7,1012,12.055,1.7706,0.0006,0.35,0.3236,0.3461,0.0093,0.0002,219
9,7/1/2013 9:00,-10,1002,17.975,1.757,0.0006,0.3493,0.3107,0.3443,0.0095,0.0003,222
10,7/1/2013 10:00,-7.1,1008,23.035,1.7532,0.0006,0.3487,0.3098,0.3449,0.0095,0.0003,201
11,7/1/2013 11:00,-7.9,1003,28.205,1.7593,0.0006,0.3491,0.3123,0.3461,0.0096,0.0003,204
12,7/1/2013 12:00,-5.7,998,31.725,1.7561,0.0006,0.3487,0.3105,0.3447,0.0096,0.0004,210
13,7/1/2013 13:00,-6.4,1008,35.62,1.5118,0.0003,0.3489,0.2577,0.1519,0.014,0.0004,216
14,7/1/2013 14:00,-3.6,999,40.915,1.3986,0.0003,0.319,0.2438,0.1454,0.0096,0.0004,216
15,7/1/2013 15:00,-5,997,44.56,1.4265,0.0004,0.2408,0.2448,0.1468,0.0048,0.0962,216
16,7/1/2013 16:00,-4.3,1009,48.44,1.658,0.0004,0.2435,0.2484,0.1462,0.0049,0.3229,213
17,7/1/2013 17:00,-7.1,1003,50.355,2.0519,0.0003,0.2433,0.245,0.1469,0.0046,0.7194,198
18,7/1/2013 18:00,-7.1,1007,53.235,2.5319,0.0002,0.242,0.2441,0.147,0.0047,1.2049,198
19,7/1/2013 19:00,-6.4,996,56.365,2.7146,0.0002,0.2408,0.2429,0.1462,0.0048,1.3951,213
20,7/1/2013 20:00,-7.9,997,59.87,2.7692,0.0002,0.2396,0.2424,0.1452,0.0048,1.4558,216
21,7/1/2013 21:00,-6.4,996,63.515,2.8753,0.0001,0.239,0.244,0.1454,0.0048,1.5619,222
22,7/1/2013 22:00,-9.3,1015,67.41,3.0089,0.0002,0.2391,0.2411,0.1451,0.0049,1.7004,210
23,7/1/2013 23:00,-10,1012,72.08,3.0069,0.0001,0.2388,0.2404,0.1435,0.0048,1.7028,216
24,7/2/2013 0:00,-8.6,1003,76.35,2.9956,0.0002,0.2378,0.2394,0.1429,0.0047,1.7302,210
25,7/2/2013 1:00,-7.9,1011,5.77,2.9877,0.0002,0.2385,0.2431,0.1429,0.0048,1.728,231
26,7/2/2013 2:00,-8.6,1000,10.065,2.9885,0.0001,0.2342,0.2401,0.1437,0.0046,1.7349,210
27,7/2/2013 3:00,-10.7,997,5.52,2.9904,0.0002,0.2354,0.2397,0.1439,0.0048,1.7362,213
28,7/2/2013 4:00,-10.7,1016,4.77,2.9692,0.0002,0.2074,0.241,0.1443,0.0039,1.7394,204
29,7/2/2013 5:00,-8.6,1015,9.665,2.9522,0.0002,0.2071,0.2412,0.1434,0.0039,1.7226,222
30,7/2/2013 6:00,-8.6,1015,6.17,2.7277,0.0002,0.2068,0.2443,0.1444,0.0038,1.4908,210
31,7/2/2013 7:00,-10,1003,5.27,2.7098,0.0003,0.2071,0.2416,0.1468,0.0038,1.4707,210
32,7/2/2013 8:00,-10,1017,10.44,2.714,0.0003,0.209,0.2412,0.1458,0.0039,1.4747,198
33,7/2/2013 9:00,-7.9,1011,14.335,2.697,0.0003,0.2101,0.2408,0.1453,0.0039,1.4578,204
34,7/2/2013 10:00,-7.1,1005,18.23,2.6513,0.0003,0.2121,0.2409,0.1451,0.004,1.4088,225
35,7/2/2013 11:00,-7.1,1009,22.625,2.5984,0.0002,0.2137,0.2452,0.1469,0.004,1.3449,213
36,7/2/2013 12:00,-7.1,1016,25.005,2.5383,0.0003,0.2123,0.2472,0.148,0.0038,1.2815,204
37,7/2/2013 13:00,-3.6,1001,2.415,2.437,0.0003,0.2135,0.253,0.1453,0.0038,1.176,237
38,7/2/2013 14:00,-5,1005,4.305,2.3624,0.0003,0.2109,0.2484,0.1457,0.0037,1.1077,210
39,7/2/2013 15:00,-5.7,1011,5.195,2.3138,0.0003,0.2137,0.2472,0.1459,0.0038,1.0599,234
40,7/2/2013 16:00,-3.6,1010,5.835,2.2578,0.0004,0.2123,0.2502,0.1444,0.0038,1.006,243
41,7/2/2013 17:00,-5,999,6.225,2.247,0.0003,0.2116,0.2461,0.1445,0.0038,1.0012,234
42,7/2/2013 18:00,-5.7,1011,2.54,2.2396,0.0004,0.211,0.2458,0.1446,0.0037,0.9946,240
43,7/2/2013 19:00,-7.9,996,1.64,2.237,0.0004,0.2104,0.2453,0.1444,0.0037,0.9939,276
44,7/2/2013 20:00,-7.1,1007,1.765,2.2381,0.0003,0.2096,0.2453,0.1445,0.0037,0.996,264
45,7/2/2013 21:00,-7.9,995,2.39,2.2305,0.0003,0.2088,0.2486,0.1438,0.0036,0.9858,270
46,7/2/2013 22:00,-8.6,1005,3.405,2.2273,0.0003,0.2082,0.2452,0.1438,0.0036,0.9865,282
47,7/2/2013 23:00,-8.6,995,4.545,2.2296,0.0004,0.2082,0.2453,0.1446,0.0037,0.9876,258
48,7/3/2013 0:00,-7.9,1011,2.14,2.2274,0.0003,0.2044,0.2453,0.1431,0.0034,0.9882,249
49,7/3/2013 1:00,-8.6,1002,3.28,2.2437,0.0003,0.2078,0.2455,0.1452,0.0036,0.9931,270
50,7/3/2013 2:00,-10,996,4.295,2.2344,0.0003,0.2075,0.2486,0.1455,0.0036,0.9868,288
51,7/3/2013 3:00,-8.6,1002,4.435,2.2329,0.0003,0.2069,0.2452,0.1455,0.0036,0.99,348
52,7/3/2013 4:00,-10.7,1004,1.515,2.2332,0.0003,0.2064,0.2455,0.1454,0.0035,0.9902,396
53,7/3/2013 5:00,-10.7,1005,1.64,2.2284,0.0003,0.2059,0.2455,0.1459,0.0035,0.984,414
54,7/3/2013 6:00,-10.7,995,2.765,2.2328,0.0003,0.2059,0.2458,0.1464,0.0035,0.9863,381
55,7/3/2013 7:00,-9.3,999,2.015,2.229,0.0003,0.2057,0.2467,0.1452,0.0035,0.9826,411
56,7/3/2013 8:00,-10,999,4.555,2.227,0.0003,0.2056,0.2477,0.1463,0.0035,0.9777,381
57,7/3/2013 9:00,-10,995,1.765,2.2262,0.0003,0.2057,0.2457,0.1474,0.0034,0.9774,324
58,7/3/2013 10:00,-7.1,994,2.14,2.2241,0.0003,0.2053,0.2455,0.1453,0.0034,0.979,327
59,7/3/2013 11:00,-5.7,994,2.39,2.2233,0.0004,0.2015,0.2448,0.1472,0.0032,0.9805,300
60,7/3/2013 12:00,-5,1009,1.765,2.1489,0.0004,0.2033,0.2448,0.1453,0.0032,0.9078,312
61,7/3/2013 13:00,-5.7,1006,2.655,2.112,0.0004,0.2044,0.2484,0.1474,0.0033,0.8604,333
62,7/3/2013 14:00,-3.6,1004,4.295,2.0729,0.0004,0.2052,0.2455,0.1477,0.0033,0.8214,372
63,7/3/2013 15:00,-5,995,3.29,2.0187,0.0004,0.2056,0.2451,0.1474,0.0034,0.7674,417
64,7/3/2013 16:00,-5,999,2.14,1.9775,0.0004,0.2051,0.2452,0.1472,0.0033,0.7262,423
65,7/3/2013 17:00,-7.1,989,2.965,1.9276,0.0004,0.2047,0.2453,0.1475,0.0033,0.6768,414
66,7/3/2013 18:00,-7.1,1008,2.015,1.9166,0.0004,0.2044,0.2414,0.147,0.0033,0.6724,396
67,7/3/2013 19:00,-7.1,996,3.405,1.9098,0.0003,0.2045,0.2397,0.1465,0.0033,0.6714,486
68,7/3/2013 20:00,-9.3,1000,3.92,1.9059,0.0003,0.2042,0.2372,0.1456,0.0033,0.6703,519
69,7/3/2013 21:00,-10,1001,2.2,1.8716,0.0004,0.2023,0.2376,0.1471,0.0032,0.6329,447
70,7/3/2013 22:00,-9.3,998,2.59,1.7975,0.0004,0.2044,0.2374,0.1465,0.0033,0.5574,474
71,7/3/2013 23:00,-10.7,1009,2.79,1.7536,0.0004,0.2054,0.2372,0.1469,0.0033,0.5116,459
72,7/4/2013 0:00,-12.1,993,3.43,1.717,0.0004,0.2054,0.2406,0.148,0.0033,0.4694,462
73,7/4/2013 1:00,-10.7,998,1.45,1.6755,0.0004,0.205,0.2377,0.1481,0.0033,0.4312,504
74,7/4/2013 2:00,-11.4,996,4.755,1.6412,0.0004,0.2046,0.2372,0.1484,0.0032,0.398,384
75,7/4/2013 3:00,-9.3,994,6.045,1.6049,0.0004,0.2044,0.237,0.1477,0.0032,0.362,342
76,7/4/2013 4:00,-12.9,993,6.935,1.5973,0.0004,0.2039,0.2364,0.1465,0.0033,0.3591,276
77,7/4/2013 5:00,-12.1,997,8.975,1.5912,0.0004,0.2036,0.236,0.1462,0.0033,0.356,261
78,7/4/2013 6:00,-12.1,997,11.14,1.5928,0.0004,0.2028,0.2388,0.1469,0.0032,0.3558,273
79,7/4/2013 7:00,-10.7,1000,2.39,1.5872,0.0004,0.2025,0.2355,0.1467,0.0032,0.3558,279
80,7/4/2013 8:00,-12.9,1001,3.165,1.5783,0.0004,0.1982,0.235,0.1452,0.003,0.3548,240
81,7/4/2013 9:00,-10,996,2.915,1.5806,0.0004,0.1986,0.2344,0.1451,0.003,0.356,273
82,7/4/2013 10:00,-7.9,995,2.39,1.5766,0.0004,0.1977,0.2345,0.1454,0.003,0.3532,276
83,7/4/2013 11:00,-7.1,998,2.53,1.5756,0.0004,0.197,0.2344,0.1456,0.003,0.353,312
84,7/4/2013 12:00,-6.4,996,3.67,1.579,0.0004,0.198,0.2373,0.1454,0.0031,0.3528,294
